,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
BSU10130,0.0,0,-3.1834069160937323e-10,0,0
BSU10140,0.0,0,-4.2560843996276087e-10,0,0
BSU10170,0.0,0,0.0,0,0
BSU10220,0.0,0,0.0,0,0
BSU10270,0.0,0,0.0,0,0
BSU10360,0.0,0,0.0,0,0
BSU10520,0.0,0,-5.392360259848585e-10,0,0
BSU09540,-1.0,e,-1.0,e,e
BSU10790,0.0,0,0.0,0,0
BSU10870,0.0,0,-1.6413300968688815e-10,0,0
BSU10020,-1.0,e,-1.0,e,0
BSU11230,0.0,0,0.0,0,0
BSU11240,0.0,0,0.0,0,0
BSU11330,0.0,0,0.0,0,0
BSU11190,-1.0,e,-1.0,e,0
BSU11010,-1.0,e,-1.0,e,0
BSU11200,-1.0,e,-1.0,e,0
BSU11610,0.0,0,-1.0,e,0
BSU11220,-1.0,e,-1.0,e,0
BSU11210,-1.0,e,-1.0,e,0
BSU11640,0.0,0,0.0,0,0
BSU11250,-1.0,e,-1.0,e,0
BSU11650,0.0,0,-4.355529433535859e-10,0,0
BSU11670,-0.001987717406591346,0,-1.6863634084906086e-10,0,0
BSU11340,-1.0,e,0.0,0,e
BSU11420,-1.0,e,,,e
BSU11720,0.0,0,0.0,0,0
BSU11710,0.0,0,0.0,0,0
BSU11880,0.0,0,6.393836171998098e-12,0,0
BSU12010,0.0,0,-3.299360635006886e-10,0,0
BSU12020,0.0,0,0.0,0,0
BSU12080,0.0,0,0.0,0,0
BSU12290,0.0,0,0.0,0,0
BSU12160,0.0,0,0.0,0,0
BSU12300,0.0,0,-2.2041523786365595e-10,0,0
BSU12330,0.0,0,-2.9873237835313956e-10,0,0
BSU12340,0.0,0,1.4695000142645785e-11,0,0
BSU12380,0.0,0,-4.053278033629583e-10,0,0
BSU12360,0.0,0,-1.1250210615719413e-10,0,0
BSU12390,0.0,0,-1.435703855009903e-10,0,0
BSU11870,-1.0,e,-1.0,e,0
BSU12840,-0.001687684590502086,0,-0.002838667198835172,0,0
BSU12910,0.0,0,0.0,0,0
BSU12920,0.0,0,-3.838885118881234e-10,0,0
BSU12940,0.0,0,-5.364363845272465e-10,0,0
BSU12930,0.0,0,-5.364363845272465e-10,0,0
BSU12950,0.0,0,-5.364363845272465e-10,0,0
BSU12960,0.0,0,-5.364363845272465e-10,0,0
BSU13010,0.0,0,,,0
BSU13110,0.0,0,-4.1960159191678514e-05,0,0
BSU13120,0.0,0,0.0,0,0
BSU13130,-9.376025502789367e-06,0,-5.235331878571987e-10,0,0
BSU13170,0.0,0,0.0,0,0
BSU13300,0.0,0,0.0,0,e
BSU13450,0.0,0,,,0
BSU13550,0.0,0,-1.5259269419536107e-10,0,0
BSU13560,0.0,0,-1.577342325559347e-12,0,0
BSU13580,0.0,0,-1.358175503325079e-12,0,0
BSU13590,0.0,0,-2.831604756377969e-10,0,0
BSU13600,0.0,0,-3.8004068128069535e-10,0,0
BSU13610,0.0,0,-2.1091047981985807e-10,0,0
BSU13620,0.0,0,-6.610556043130663e-11,0,0
BSU13850,0.0,0,0.0,0,0
BSU13730,0.0,0,-4.580400710525972e-10,0,0
BSU13890,-0.0008344662697482538,0,-0.013364780689870355,-,0
BSU13900,0.0,0,-0.01336478034198814,-,0
BSU13180,-1.0,e,-1.0,e,0
BSU13910,0.0,0,-0.01336478034198814,-,0
BSU13960,0.0,0,-3.4074897595576627e-07,0,0
BSU14390,0.0,0,-3.816540220215009e-10,0,0
BSU14400,0.0,0,0.0,0,0
BSU14520,0.0,0,-3.821999979860684e-10,0,0
BSU14580,-0.035985185879705596,-,-0.03526427375371951,-,0
BSU14590,-0.035985185879705596,-,-0.03526427375371951,-,0
BSU14000,-1.0,e,-1.0,e,0
BSU14610,-0.10238619849045989,-,-0.09963849506874509,-,0
BSU14600,-0.035985185879705596,-,-0.03526427375371951,-,0
BSU14630,0.0,0,0.0,0,0
BSU14180,-1.0,e,-1.0,e,0
BSU14190,-1.0,e,-1.0,e,0
BSU14730,0.0,0,,,0
BSU14670,0.0,0,-1.7213089289118054e-10,0,0
BSU14530,-1.0,e,,,e
BSU14540,-1.0,e,,,0
BSU14830,0.0,0,0.0,0,0
BSU14870,0.0,0,-3.7793606804947095e-10,0,0
BSU14860,-0.09136936852468239,-,-0.08814383109052942,-,0
BSU14880,0.0,0,0.0,0,0
BSU14890,-0.34309690122357134,-,-0.34122513177459696,-,0
BSU14900,-0.34309690122357134,-,-0.34122513177459696,-,0
BSU14910,-0.34309690122357134,-,-0.34122513177459696,-,0
BSU14920,-0.34309690122357134,-,-0.34122513177459696,-,0
BSU15020,0.0,0,-2.655268989773896e-10,0,0
BSU15110,0.0,0,-5.02340944330132e-10,0,0
BSU15350,0.0,0,-5.097167372735683e-10,0,0
BSU15080,-1.0,e,,,0
BSU15140,-1.0,e,,,0
BSU15180,-1.0,e,-1.0,e,e
BSU15480,0.0,0,0.0,0,0
BSU15200,-1.0,e,-1.0,e,e
BSU15190,-1.0,e,-1.0,e,e
BSU15220,-1.0,e,-1.0,e,e
BSU15230,-1.0,e,-1.0,e,e
BSU15320,-1.0,e,,,0
BSU15430,-1.0,e,,,e
BSU15510,0.0,0,0.0,0,0
