,response,essentiality,response_me,essentiality_me
BSU12910,0.0,0,0.0,0
BSU23800,0.0,0,0.0,0
BSU11250,-1.0,e,e,e
BSU24030,-1.0,e,e,e
BSU22420,-6.375731086683094e-11,0,0.0,0
BSU03300,-2.30122222298984e-10,0,0.0,0
BSU37660,-0.0015819162229640494,0,-0.0014335238452169025,0
BSU24090,0.0,0,-9.3694368968425e-06,0
BSU14860,-0.08814383109052942,-,-0.09123957650145226,-
BSU14590,-0.03526427375371951,-,-2.81083106905275e-05,0
BSU39540,0.0,0,0.0,0
BSU01770,-1.0,e,e,e
BSU23070,-1.0,e,e,e
BSU23860,-3.697036069366788e-10,0,0.0,0
BSU15190,-1.0,e,e,e
BSU09240,-1.6419618337638885e-10,0,0.0,0
BSU33910,-0.11002793251170766,-,-0.11363253068490584,-
BSU14600,-0.03526427375371951,-,-1.8738873793685e-05,0
BSU16540,-1.0,e,e,e
BSU14580,-0.03526427375371951,-,-2.81083106905275e-05,0
BSU24960,0.0,0,0.0,0
BSU24990,0.0,0,0.0,0
BSU29190,-0.07828594499538499,-,e,e
BSU33930,-0.44636329971108435,-,-0.45666635435210345,-
BSU24980,0.0,0,0.0,0
BSU24970,0.0,0,0.0,0
BSU24950,0.0,0,0.0,0
BSU19800,-3.06280634292494e-12,0,0.0,0
BSU12840,-0.002838667198835172,0,-0.00168649864143165,0
BSU25420,-3.011994462163037e-10,0,0.0,0
BSU09310,-1.5640629101574124e-10,0,0.0,0
BSU03010,-3.74470573551684e-11,0,0.0,0
BSU23760,-1.9329043197563803e-10,0,0.0,0
BSU38240,-3.3972175035366276e-10,0,0.0,0
BSU40550,-1.0,e,e,e
BSU28130,-4.509448539926975e-10,0,0.0,0
BSU15700,-2.542199849755634e-10,0,0.0,0
BSU30560,-1.8282171636802504e-10,0,0.0,0
BSU23920,0.0,0,0.0,0
BSU18210,0.0,0,0.0,0
BSU23500,-9.729467091494492e-05,0,-0.000243605359317905,0
BSU22610,-1.0,e,e,e
BSU27900,-1.0,e,e,e
BSU10140,-4.2560843996276087e-10,0,0.0,0
BSU06530,-0.9999999905868471,e,e,e
BSU18830,0.0,0,0.0,0
BSU22650,-1.0,e,e,e
BSU06500,-1.0,e,e,e
BSU34860,-1.0,e,e,e
BSU06450,-0.9999999992910558,e,e,e
BSU06460,-0.9999999963147317,e,e,e
BSU06470,-0.9999999963147317,e,0.0,0
BSU32440,0.0,0,0.0,0
BSU32430,0.0,0,0.0,0
BSU34880,-1.0,e,e,e
BSU03200,0.0,0,0.0,0
BSU19580,0.0,0,0.0,0
BSU03220,0.0,0,0.0,0
BSU06660,0.0,0,0.0,0
BSU30530,0.0,0,0.0,0
BSU00510,-0.9999999983036906,e,e,e
BSU06480,-0.9999999963147317,e,0.0,0
BSU22600,-1.0,e,e,e
BSU02290,-1.0,e,e,e
BSU10020,-1.0,e,e,e
BSU04740,-1.0,e,e,e
BSU13730,-4.580400710525972e-10,0,0.0,0
BSU15020,-2.655268989773896e-10,0,0.0,0
BSU19630,0.0,0,0.0,0
BSU23490,0.0,0,0.0,0
BSU03070,0.0,0,0.0,0
BSU29180,-0.036747515354280044,-,-0.03903307411224585,-
BSU00110,-1.441038914262895e-10,0,0.0,0
BSU27850,-0.9999999761153312,e,e,e
BSU29300,0.0,0,0.0,0
BSU23250,-3.362171987517525e-10,0,e,e
BSU28780,-2.70052935022381e-10,0,0.0,0
BSU00120,-1.441038914262895e-10,0,0.0,0
BSU31180,-1.6744098170750294e-10,0,0.0,0
BSU39980,0.0,0,0.0,0
BSU31200,6.17353998771689e-11,0,0.0,0
BSU17370,-1.0,e,e,e
BSU28790,-2.2956730555154488e-10,0,0.0,0
BSU23270,-3.362171987517525e-10,0,e,e
BSU36920,-0.08802080373797043,-,-0.08170148974046659,-
BSU15590,-1.0,e,e,e
BSU06150,0.0,0,0.0,0
BSU17390,-1.0,e,e,e
BSU00930,-3.997064037743151e-10,0,0.0,0
BSU23770,-7.036172600383136e-11,0,0.0,0
BSU15850,-4.1793007210424855e-10,0,0.0,0
BSU17380,-1.0,e,e,e
BSU15860,-4.1793007210424855e-10,0,0.0,0
BSU15630,-1.538226400496065e-10,0,0.0,0
BSU15620,7.758129053077435e-12,0,0.0,0
BSU25660,-1.0,e,e,e
BSU03150,-0.999999999999961,e,e,e
BSU06160,-4.831917873311073e-10,0,0.0,0
BSU11870,-1.0,e,e,e
BSU19710,-3.0611687679568773e-10,0,0.0,0
BSU15790,-0.0011324699729760221,0,-0.0011524407383116276,0
BSU15580,0.0,0,0.0,0
BSU01580,0.0,0,0.0,0
BSU34660,0.0,0,0.0,0
BSU25020,-3.3790853605892484e-10,0,0.0,0
BSU26600,-1.8737316305907258e-10,0,0.0,0
BSU26590,-6.447857323243389e-11,0,0.0,0
BSU37500,-2.9387576862565844e-10,0,0.0,0
BSU03910,-4.35451653695001e-10,0,0.0,0
BSU30790,-1.0,e,e,e
BSU30780,-1.0,e,e,e
BSU28430,-0.11608118903522795,-,-0.1203035697554577,-
BSU28450,-0.11608118903522795,-,-0.1203035697554577,-
BSU28440,-0.11608118903522795,-,-0.1203035697554577,-
BSU16100,-0.05954568825281822,-,-0.061641525344326806,-
BSU16090,-0.05954568825281822,-,-0.061641525344326806,-
BSU38050,0.0,0,0.0,0
BSU01680,0.0,0,0.0,0
BSU33430,0.0,0,-9.3694368968425e-06,0
BSU33440,0.0,0,0.0,0
BSU12380,-4.053278033629583e-10,0,0.0,0
BSU37110,-0.00018294432063110328,0,-0.0002154970486273775,0
BSU35720,-1.0,e,e,e
BSU35700,-1.0,e,e,e
BSU35710,-1.0,e,e,e
BSU35750,-1.0,e,e,e
BSU35760,-1.0,e,e,e
BSU35530,-1.0,e,e,e
BSU35730,-1.0,e,e,e
BSU35690,-1.0,e,e,e
BSU35680,-1.0,e,e,e
BSU35570,-3.984745756499914e-10,0,0.0,0
BSU35590,-3.984745756499914e-10,0,0.0,0
BSU35550,-3.984745756499914e-10,0,0.0,0
BSU35609,-3.984745756499914e-10,0,0.0,0
BSU35600,-3.984745756499914e-10,0,0.0,0
BSU16990,0.0,0,0.0,0
BSU35540,-3.984745756499914e-10,0,0.0,0
BSU32250,-1.0,e,e,e
BSU17890,-1.0,e,e,e
BSU21770,0.0,0,-9.3694368968425e-06,0
BSU21820,0.0,0,0.0,0
BSU11650,-4.355529433535859e-10,0,0.0,0
BSU05900,-2.924824182002464e-10,0,0.0,0
BSU33920,-0.07463396479185573,-,-0.07706361847652957,-
BSU03270,0.0,0,0.0,0
BSU34790,0.0,0,0.0,0
BSU32110,0.0,0,0.0,0
BSU07810,-1.9094547638379924e-10,0,0.0,0
BSU07800,-1.6597892842423538e-10,0,0.0,0
BSU22630,-1.0,e,e,e
BSU17680,0.0,0,0.0,0
BSU10010,-4.833880139867631e-10,0,0.0,0
BSU15180,-1.0,e,e,e
BSU35660,-1.0,e,e,e
BSU30870,0.0,0,0.0,0
BSU38290,-3.9714534004911917e-10,0,0.0,0
BSU38860,-5.105657587207313e-11,0,0.0,0
BSU37100,0.0,0,0.0,0
BSU22640,-1.0,e,e,e
BSU15220,-1.0,e,e,e
BSU15200,-1.0,e,e,e
BSU29790,-1.0,e,e,e
BSU15230,-1.0,e,e,e
BSU35580,-2.1618565935598626e-10,0,0.0,0
BSU04570,-1.0,e,e,e
BSU13580,-1.358175503325079e-12,0,0.0,0
BSU03280,0.0,0,0.0,0
BSU36760,0.0,0,-9.3694368968425e-06,0
BSU28140,-2.2970447598349614e-10,0,0.0,0
BSU36890,-3.970988715065628e-10,0,0.0,0
BSU15480,0.0,0,-9.3694368968425e-06,0
BSU31150,-1.0,e,e,e
BSU36470,0.0,0,0.0,0
BSU21920,-1.0,e,e,e
BSU15610,0.0,0,0.0,0
BSU10120,-3.088659322449472e-10,0,0.0,0
BSU39360,5.9352681241885566e-12,0,0.0,0
BSU36640,-2.318295589018213e-10,0,0.0,0
BSU36650,-2.318295589018213e-10,0,0.0,0
BSU36660,-2.318295589018213e-10,0,0.0,0
BSU32450,0.0,0,0.0,0
BSU32460,0.0,0,0.0,0
BSU16510,0.0,0,0.0,0
BSU32500,0.0,0,0.0,0
BSU32480,0.0,0,0.0,0
BSU32470,0.0,0,0.0,0
BSU32510,0.0,0,0.0,0
BSU32490,0.0,0,0.0,0
BSU22060,-2.6957401492935053e-10,0,0.0,0
BSU22070,-2.9109600864574783e-10,0,0.0,0
BSU17600,-3.223239280205541e-10,0,0.0,0
BSU17610,-4.38828681499111e-10,0,0.0,0
BSU02860,0.0,0,0.0,0
BSU02850,0.0,0,0.0,0
BSU02870,0.0,0,0.0,0
