,flux
ACMANAt2_FWD_CPLX_dummy_s,0.0
ACNAMt2_FWD_CPLX_dummy,0.0
ACNAMt2_FWD_CPLX_dummy_s,0.0
ACNPLYS_FWD_CPLX_dummy,0.0
ACNPLYS_FWD_CPLX_dummy_s,0.0
ACNPLYS_REV_CPLX_dummy,0.0
ACNPLYS_REV_CPLX_dummy_s,0.0
ACOAD1_FWD_BSU04520-MONOMER,0.0
ACOAD1_FWD_BSU04520-MONOMER_s,0.0
ACOAD1_FWD_BSU18260-MONOMER,0.0
ACOAD1_FWD_BSU18260-MONOMER_s,0.0
ACOAD1_FWD_BSU24150-MONOMER,0.0
ACOAD1_FWD_BSU24150-MONOMER_s,0.0025196601240871797
ACOAD1_FWD_BSU32820-MONOMER,0.0
ACOAD1_FWD_BSU32820-MONOMER_s,0.0
ACOAD1_FWD_BSU37170-MONOMER,0.0
ACOAD1_FWD_BSU37170-MONOMER_s,0.0
ACOAD1_REV_BSU04520-MONOMER,0.0
ACOAD1_REV_BSU04520-MONOMER_s,0.0
ACOAD1_REV_BSU18260-MONOMER,0.0
ACOAD1_REV_BSU18260-MONOMER_s,0.0
ACOAD1_REV_BSU24150-MONOMER,0.0
ACOAD1_REV_BSU24150-MONOMER_s,0.0
ACOAD1_REV_BSU32820-MONOMER,0.0
ACOAD1_REV_BSU32820-MONOMER_s,0.0
ACOAD1_REV_BSU37170-MONOMER,0.0
ACOAD1_REV_BSU37170-MONOMER_s,0.0
ACOAD20_FWD_BSU04520-MONOMER,0.0
ACOAD20_FWD_BSU04520-MONOMER_s,0.0
ACOAD20_FWD_BSU18260-MONOMER,0.0
ACOAD20_FWD_BSU18260-MONOMER_s,0.0
ACOAD20_FWD_BSU32820-MONOMER,0.0
ACOAD20_FWD_BSU32820-MONOMER_s,0.0
ACOAD2_FWD_BSU24150-MONOMER,0.0
ACOAD2_FWD_BSU24150-MONOMER_s,0.0025196601240871797
ACOAD2_FWD_BSU37170-MONOMER,0.0
ACOAD2_FWD_BSU37170-MONOMER_s,0.0
ACOAD2_REV_BSU24150-MONOMER,0.0
ACOAD2_REV_BSU24150-MONOMER_s,0.0
ACOAD2_REV_BSU37170-MONOMER,0.0
ACOAD2_REV_BSU37170-MONOMER_s,0.0
ACOAD3_FWD_BSU24150-MONOMER,0.0
ACOAD3_FWD_BSU24150-MONOMER_s,0.0
ACOAD3_FWD_BSU37170-MONOMER,0.0
ACOAD3_FWD_BSU37170-MONOMER_s,0.0
ACOAD3_REV_BSU24150-MONOMER,0.0
ACOAD3_REV_BSU24150-MONOMER_s,0.0025196601240871797
ACOAD3_REV_BSU37170-MONOMER,0.0
ACOAD3_REV_BSU37170-MONOMER_s,0.0
ACOAD4_1_FWD_BSU24150-MONOMER,0.0
ACOAD4_1_FWD_BSU24150-MONOMER_s,0.0
ACOAD4_1_FWD_BSU37170-MONOMER,0.0
